month,rows,cusips,trades,size_sum,yield_mean
2022-11-30,141805,10957,1739094,442526722049.75,5.766274702425833
2022-12-31,148425,11157,1702172,364130152834.3,5.430455370300635
2023-01-31,142169,11016,1684332,494996622647.25,5.282967846541997
2023-02-28,135713,10944,1689998,478054654798.04,5.456153587587881
2023-03-31,162094,11401,1815008,518828445964.31,5.688911062598611
2023-04-30,134087,11092,1419666,381011476661.56,5.403240388349825
2023-05-31,155541,11309,1738800,479711805260.91,5.581998175792064
2023-06-30,154236,11401,1699873,452141782440.63,5.7217655378372525
2023-07-31,144192,11368,1568533,405390397862.71,5.753415817952462
2023-08-31,170194,11581,1912145,439833247517.53,5.918238891061399
2023-09-30,149868,11468,1726012,422133632184.17,6.0747928612745214
2023-10-31,162549,11725,2022680,474293454564.02,6.4417662690376
2023-11-30,164444,11923,2113945,519166438281.48,6.115461323794596
2023-12-31,157039,11899,1951063,432799499038.23,5.539498065817322
2024-01-31,165681,11923,2053025,578898979944.0,5.442074176790695
2024-02-29,160190,11940,2083918,565230838416.9,5.5494380590943555
2024-03-31,161295,12027,2025405,536964642968.73,5.546685455200892
2024-04-30,178335,12163,2188009,572522537529.58,5.779144959375433
2024-05-31,175287,12303,1994868,516884654810.77,5.72953668278789
2024-06-30,154103,12246,1750788,457769405377.53,5.632082028944541
2024-07-31,175381,12402,1949255,506256107193.2,5.518216383588218
2024-08-31,178864,12544,2242764,544493490373.33,5.196127180689592
2024-09-30,168113,12545,2217951,610402180803.1799,4.9205021305739365
2024-10-31,184411,12470,2432619,631004574431.2,5.116066356219648
2024-11-30,158599,12429,2177059,512016462430.07,5.29630061865211
2024-12-31,173181,12646,2150730,483081515959.31,5.281093419595885
2025-01-31,173585,12607,2244162,574854468301.59,5.461197176924101
2025-02-28,159293,12592,2173860,567070371277.92,5.344095201987713
2025-03-31,178520,12756,2343966,660383470370.4299,5.2946336048372205
