target_month,strategy_ret,n_issuer_months,avg_bonds_per_issuer,avg_k_each_side,long_ret,short_ret
2005-07-31,0.0021263708193663,581,6.48881239242685,1.2908777969018932,0.0014030199027172,-0.000723350916649
2005-08-31,0.0041338548020214,583,6.567753001715266,1.3036020583190395,0.0022459785911024,-0.0018878762109189
2005-09-30,0.0014543161726313,571,6.4605954465849385,1.2819614711033276,0.0021731340925129,0.0007188179198816
2005-10-31,0.0044779820308976,578,6.553633217993079,1.28719723183391,0.001944791880492,-0.0025331901504055
2005-11-30,0.0033915917956421,560,6.596428571428572,1.2910714285714286,0.0012649155338819,-0.0021266762617602
2005-12-31,0.0020486481184813,556,6.5071942446043165,1.3003597122302155,0.0009802895812414,-0.0010683585372399
2006-01-31,0.0070469376894845,567,6.604938271604938,1.306878306878307,0.0040888326645886,-0.0029581050248959
2006-02-28,0.0014596255906944,583,6.404802744425386,1.2847341337907376,0.0010801401897789,-0.0003794854009154
2006-03-31,0.0012910472289206,584,6.476027397260274,1.2893835616438356,0.001756978222072,0.0004659309931513
2006-04-30,0.002495165024435,595,6.458823529411765,1.2789915966386554,0.0010766831498058,-0.0014184818746291
2006-05-31,0.0062462431820803,584,6.424657534246576,1.2808219178082192,0.0029511859206296,-0.0032950572614506
2006-06-30,0.0017733600724178,587,6.407155025553663,1.2793867120954003,0.0003789442367818,-0.001394415835636
2006-07-31,0.0060560645218814,579,6.521588946459413,1.2884283246977548,0.0030193816174307,-0.0030366829044507
2006-08-31,0.0047327655019227,557,6.439856373429085,1.2836624775583485,0.0034386921054359,-0.0012940733964867
2006-09-30,0.002230182070078,563,6.468916518650089,1.2735346358792186,0.0014336871426527,-0.0007964949274252
2006-10-31,0.0038656151628834,578,6.536332179930795,1.2854671280276817,0.0019644627181683,-0.0019011524447151
2006-11-30,0.0006629503368897,574,6.503484320557491,1.2804878048780488,0.0002707301333007,-0.0003922202035889
2006-12-31,0.0037294512699567,560,6.533928571428572,1.2946428571428572,0.0024917593725649,-0.0012376918973918
2007-01-31,0.0056845668984015,581,6.487091222030981,1.289156626506024,0.0022203599675275,-0.003464206930874
2007-02-28,0.0016188763221778,566,6.46113074204947,1.295053003533569,0.0009661475967179,-0.0006527287254598
2007-03-31,0.0021434189619143,570,6.436842105263158,1.2912280701754386,0.0010544473506435,-0.0010889716112708
2007-04-30,0.005554105260892,574,6.554006968641115,1.3083623693379791,0.0029400303058574,-0.0026140749550346
2007-05-31,0.0011216550802754,576,6.409722222222222,1.2899305555555556,0.0008024963767332,-0.0003191587035421
2007-06-30,0.0006486559209029,571,6.4010507880910685,1.2924693520140105,-0.0011655268287855,-0.0018141827496885
2007-07-31,0.0028689717708528,576,6.602430555555555,1.3055555555555556,0.0016167330734397,-0.001252238697413
2007-08-31,0.0036523455134474,534,6.537453183520599,1.305243445692884,0.0012673159144142,-0.0023850295990332
2007-09-30,0.0066273609739215,522,6.745210727969349,1.3352490421455938,0.0033134760870379,-0.0033138848868836
2007-10-31,0.0082423709643831,553,6.528028933092224,1.305605786618445,0.0045240963726228,-0.0037182745917602
2007-11-30,0.0002729810932489,556,6.575539568345324,1.3075539568345325,-0.0002896948637485,-0.0005626759569975
2007-12-31,0.0051875133985948,551,6.61524500907441,1.3157894736842106,0.0029377235307878,-0.0022497898678069
2008-01-31,0.0101529715333839,541,6.582255083179297,1.308687615526802,0.0057489802026514,-0.0044039913307325
2008-02-29,0.004421052676508,535,6.538317757009346,1.3046728971962618,0.0022053293744745,-0.0022157233020335
2008-03-31,0.0067415760731751,578,6.548442906574395,1.3079584775086506,0.0043012077773272,-0.0024403682958479
2008-04-30,0.0073500783443243,530,6.592452830188679,1.3075471698113208,0.0052445355101849,-0.0021055428341394
2008-05-31,0.0076954367999057,562,6.562277580071174,1.304270462633452,0.0049219251477239,-0.0027735116521818
2008-06-30,0.0072170745745143,584,6.638698630136986,1.303082191780822,0.0033243211758325,-0.0038927533986817
2008-07-31,0.0104266676354549,578,6.555363321799308,1.2941176470588236,0.0055329812514588,-0.0048936863839961
2008-08-31,0.0048758937765011,566,6.501766784452297,1.2915194346289751,0.002964868825195,-0.001911024951306
2008-09-30,0.009344707954009,571,6.502626970227671,1.2802101576182137,0.0069088365607044,-0.0024358713933045
2008-10-31,0.0151848197675444,548,6.332116788321168,1.27007299270073,0.0073596397608116,-0.0078251800067327
2008-11-30,0.0351077407411216,538,6.5315985130111525,1.2825278810408922,0.0127967243114579,-0.0223110164296637
2008-12-31,0.0389991076978537,529,6.466918714555765,1.2589792060491494,0.0216566106848091,-0.0173424970130446
2009-01-31,0.0252006362819587,544,6.441176470588236,1.2628676470588236,0.0165663121449106,-0.0086343241370481
2009-02-28,0.0206339600204665,568,6.448943661971831,1.2764084507042253,0.0115880749450786,-0.0090458850753879
2009-03-31,-0.0030333918249647,555,6.446846846846847,1.2756756756756755,0.000631783274423,0.0036651750993878
2009-04-30,0.0331507078475838,551,6.493647912885662,1.2686025408348458,0.0195822634724429,-0.0135684443751409
2009-05-31,0.0160269334672795,558,6.505376344086022,1.2724014336917562,0.0102789651708814,-0.0057479682963981
2009-06-30,0.0158015763381628,578,6.595155709342561,1.2854671280276817,0.0105029585354993,-0.0052986178026635
2009-07-31,0.0097877236961284,590,6.494915254237288,1.277966101694915,0.005944803284022,-0.0038429204121064
2009-08-31,0.0155679666686575,606,6.475247524752476,1.2607260726072609,0.0067850297839192,-0.0087829368847382
2009-09-30,0.0100481852707442,599,6.474123539232053,1.2671118530884808,0.0053561060014669,-0.0046920792692773
2009-10-31,0.0047504450715229,619,6.474959612277868,1.2633279483037156,0.0035959225027303,-0.0011545225687925
2009-11-30,0.0055570568134103,623,6.565008025682183,1.274478330658106,0.00372467643347,-0.0018323803799402
2009-12-31,0.0058150278380876,632,6.449367088607595,1.2610759493670889,0.0052091897995236,-0.0006058380385639
2010-01-31,0.0032207478011918,640,6.4640625,1.2609375,0.0020779048806578,-0.0011428429205339
2010-02-28,0.0034060376677474,642,6.520249221183801,1.264797507788162,0.0021887404628692,-0.0012172972048782
2010-03-31,0.0063655865249856,636,6.422955974842767,1.2578616352201255,0.0037853985137693,-0.0025801880112163
2010-04-30,0.002569605123378,605,6.4,1.256198347107438,0.0017466395930809,-0.0008229655302971
